post_id,page_id,shared_url,created_time,likes,shares
1,Account01,https://www.facebook.com/coord_url_001/,10:00.0,250,15
2,Account02,https://www.facebook.com/coord_url_001/,10:12.0,255,16
3,Account03,https://www.facebook.com/coord_url_001/,10:24.0,248,14
4,Account04,https://www.facebook.com/coord_url_001/,10:36.0,260,17
5,Account05,https://www.facebook.com/coord_url_001/,10:48.0,245,13
6,Account06,https://www.facebook.com/coord_url_001/,10:58.0,252,15
7,Account07,https://www.facebook.com/coord_url_001/,11:08.0,258,18
8,Account08,https://www.facebook.com/coord_url_001/,11:18.0,243,12
9,Account01,https://www.facebook.com/coord_url_002/,15:00.0,320,22
10,Account02,https://www.facebook.com/coord_url_002/,15:15.0,325,23
11,Account09,https://www.facebook.com/coord_url_002/,15:28.0,318,21
12,Account10,https://www.facebook.com/coord_url_002/,15:40.0,330,24
13,Account11,https://www.facebook.com/coord_url_002/,15:52.0,315,20
14,Account12,https://www.facebook.com/coord_url_002/,16:03.0,328,25
15,Account13,https://www.facebook.com/coord_url_002/,16:15.0,322,22
16,Account03,https://www.facebook.com/coord_url_003/,20:00.0,450,30
17,Account04,https://www.facebook.com/coord_url_003/,20:18.0,455,31
18,Account05,https://www.facebook.com/coord_url_003/,20:32.0,448,29
19,Account14,https://www.facebook.com/coord_url_003/,20:45.0,460,32
20,Account15,https://www.facebook.com/coord_url_003/,20:58.0,445,28
21,Account16,https://www.facebook.com/coord_url_003/,21:10.0,458,33
22,Account17,https://www.facebook.com/coord_url_003/,21:22.0,452,30
23,Account18,https://www.facebook.com/coord_url_003/,21:35.0,463,34
24,Account06,https://www.facebook.com/coord_url_004/,25:00.0,580,40
25,Account07,https://www.facebook.com/coord_url_004/,25:14.0,585,41
26,Account08,https://www.facebook.com/coord_url_004/,25:28.0,578,39
27,Account09,https://www.facebook.com/coord_url_004/,25:42.0,590,42
28,Account10,https://www.facebook.com/coord_url_004/,25:55.0,575,38
29,Account19,https://www.facebook.com/coord_url_004/,26:08.0,588,43
30,Account20,https://www.facebook.com/coord_url_004/,26:20.0,582,40
31,Account01,https://www.facebook.com/coord_url_005/,30:00.0,720,50
32,Account03,https://www.facebook.com/coord_url_005/,30:10.0,725,51
33,Account05,https://www.facebook.com/coord_url_005/,30:20.0,718,49
34,Account07,https://www.facebook.com/coord_url_005/,30:30.0,730,52
35,Account09,https://www.facebook.com/coord_url_005/,30:40.0,715,48
36,Account11,https://www.facebook.com/coord_url_005/,30:50.0,728,53
37,Account13,https://www.facebook.com/coord_url_005/,31:00.0,722,50
38,Account15,https://www.facebook.com/coord_url_005/,31:10.0,733,54
39,Account17,https://www.facebook.com/coord_url_005/,31:20.0,720,51
40,Account19,https://www.facebook.com/coord_url_005/,31:30.0,735,55
41,Account02,https://www.facebook.com/coord_url_006/,35:00.0,380,26
42,Account04,https://www.facebook.com/coord_url_006/,35:12.0,385,27
43,Account06,https://www.facebook.com/coord_url_006/,35:24.0,378,25
44,Account08,https://www.facebook.com/coord_url_006/,35:36.0,390,28
45,Account10,https://www.facebook.com/coord_url_006/,35:48.0,375,24
46,Account12,https://www.facebook.com/coord_url_006/,36:00.0,388,29
47,Account14,https://www.facebook.com/coord_url_006/,36:12.0,382,26
48,Account16,https://www.facebook.com/coord_url_006/,36:24.0,393,30
49,Account18,https://www.facebook.com/coord_url_006/,36:36.0,380,27
50,Account20,https://www.facebook.com/coord_url_006/,36:48.0,395,31
51,Account01,https://www.facebook.com/coord_url_007/,40:00.0,890,60
52,Account02,https://www.facebook.com/coord_url_007/,40:08.0,895,61
53,Account03,https://www.facebook.com/coord_url_007/,40:16.0,888,59
54,Account04,https://www.facebook.com/coord_url_007/,40:24.0,900,62
55,Account05,https://www.facebook.com/coord_url_007/,40:32.0,885,58
56,Account06,https://www.facebook.com/coord_url_007/,40:40.0,898,63
57,Account07,https://www.facebook.com/coord_url_007/,40:48.0,892,60
58,Account08,https://www.facebook.com/coord_url_007/,40:56.0,903,64
59,Account09,https://www.facebook.com/coord_url_007/,41:04.0,890,61
60,Account10,https://www.facebook.com/coord_url_007/,41:12.0,905,65
61,Account11,https://www.facebook.com/coord_url_007/,41:20.0,893,62
62,Account12,https://www.facebook.com/coord_url_007/,41:28.0,908,66
63,Account11,https://www.facebook.com/coord_url_008/,45:00.0,520,35
64,Account12,https://www.facebook.com/coord_url_008/,45:14.0,525,36
65,Account13,https://www.facebook.com/coord_url_008/,45:28.0,518,34
66,Account14,https://www.facebook.com/coord_url_008/,45:42.0,530,37
67,Account15,https://www.facebook.com/coord_url_008/,45:56.0,515,33
68,Account16,https://www.facebook.com/coord_url_008/,46:10.0,528,38
69,Account17,https://www.facebook.com/coord_url_008/,46:24.0,522,35
70,Account18,https://www.facebook.com/coord_url_008/,46:38.0,533,39
71,Account19,https://www.facebook.com/coord_url_008/,46:52.0,520,36
72,Account20,https://www.facebook.com/coord_url_008/,47:06.0,535,40
73,Account01,https://www.facebook.com/coord_url_009/,50:00.0,640,44
74,Account05,https://www.facebook.com/coord_url_009/,50:15.0,645,45
75,Account09,https://www.facebook.com/coord_url_009/,50:30.0,638,43
76,Account13,https://www.facebook.com/coord_url_009/,50:45.0,650,46
77,Account17,https://www.facebook.com/coord_url_009/,51:00.0,635,42
78,Account02,https://www.facebook.com/coord_url_009/,51:15.0,648,47
79,Account06,https://www.facebook.com/coord_url_009/,51:30.0,642,44
80,Account10,https://www.facebook.com/coord_url_009/,51:45.0,653,48
81,Account03,https://www.facebook.com/coord_url_010/,55:00.0,770,52
82,Account07,https://www.facebook.com/coord_url_010/,55:12.0,775,53
83,Account11,https://www.facebook.com/coord_url_010/,55:24.0,768,51
84,Account15,https://www.facebook.com/coord_url_010/,55:36.0,780,54
85,Account19,https://www.facebook.com/coord_url_010/,55:48.0,765,50
86,Account04,https://www.facebook.com/coord_url_010/,56:00.0,778,55
87,Account08,https://www.facebook.com/coord_url_010/,56:12.0,772,52
88,Account12,https://www.facebook.com/coord_url_010/,56:24.0,783,56
89,Account16,https://www.facebook.com/coord_url_010/,56:36.0,770,53
90,Account20,https://www.facebook.com/coord_url_010/,56:48.0,785,57
91,Account01,https://www.facebook.com/coord_url_011/,60:00.0,420,28
92,Account06,https://www.facebook.com/coord_url_011/,60:18.0,425,29
93,Account11,https://www.facebook.com/coord_url_011/,60:36.0,418,27
94,Account16,https://www.facebook.com/coord_url_011/,60:54.0,430,30
95,Account02,https://www.facebook.com/coord_url_011/,61:12.0,415,26
96,Account07,https://www.facebook.com/coord_url_011/,61:30.0,428,31
97,Account12,https://www.facebook.com/coord_url_011/,61:48.0,422,28
98,Account17,https://www.facebook.com/coord_url_011/,62:06.0,433,32
99,Account03,https://www.facebook.com/coord_url_012/,65:00.0,950,65
100,Account04,https://www.facebook.com/coord_url_012/,65:10.0,955,66
101,Account05,https://www.facebook.com/coord_url_012/,65:20.0,948,64
102,Account06,https://www.facebook.com/coord_url_012/,65:30.0,960,67
103,Account07,https://www.facebook.com/coord_url_012/,65:40.0,945,63
104,Account08,https://www.facebook.com/coord_url_012/,65:50.0,958,68
105,Account09,https://www.facebook.com/coord_url_012/,66:00.0,952,65
106,Account10,https://www.facebook.com/coord_url_012/,66:10.0,963,69
107,Account11,https://www.facebook.com/coord_url_012/,66:20.0,950,66
108,Account12,https://www.facebook.com/coord_url_012/,66:30.0,965,70
109,Account13,https://www.facebook.com/coord_url_012/,66:40.0,953,67
110,Account14,https://www.facebook.com/coord_url_012/,66:50.0,968,71
111,Account15,https://www.facebook.com/coord_url_012/,67:00.0,955,68
112,Account16,https://www.facebook.com/coord_url_012/,67:10.0,970,72
113,Account17,https://www.facebook.com/coord_url_012/,67:20.0,958,69
114,Account18,https://www.facebook.com/coord_url_012/,67:30.0,973,73
115,Account19,https://www.facebook.com/coord_url_012/,67:40.0,960,70
116,Account20,https://www.facebook.com/coord_url_012/,67:50.0,975,74
117,Account08,https://www.facebook.com/coord_url_013/,70:00.0,330,22
118,Account09,https://www.facebook.com/coord_url_013/,70:16.0,335,23
119,Account10,https://www.facebook.com/coord_url_013/,70:32.0,328,21
120,Account11,https://www.facebook.com/coord_url_013/,70:48.0,340,24
121,Account12,https://www.facebook.com/coord_url_013/,71:04.0,325,20
122,Account13,https://www.facebook.com/coord_url_013/,71:20.0,338,25
123,Account14,https://www.facebook.com/coord_url_014/,75:00.0,560,38
124,Account15,https://www.facebook.com/coord_url_014/,75:14.0,565,39
125,Account16,https://www.facebook.com/coord_url_014/,75:28.0,558,37
126,Account17,https://www.facebook.com/coord_url_014/,75:42.0,570,40
127,Account18,https://www.facebook.com/coord_url_014/,75:56.0,555,36
128,Account19,https://www.facebook.com/coord_url_014/,76:10.0,568,41
129,Account20,https://www.facebook.com/coord_url_014/,76:24.0,562,38
130,Account01,https://www.facebook.com/coord_url_014/,76:38.0,573,42
131,Account01,https://www.facebook.com/coord_url_015/,80:00.0,1100,75
132,Account02,https://www.facebook.com/coord_url_015/,80:08.0,1105,76
133,Account03,https://www.facebook.com/coord_url_015/,80:16.0,1098,74
134,Account04,https://www.facebook.com/coord_url_015/,80:24.0,1110,77
135,Account05,https://www.facebook.com/coord_url_015/,80:32.0,1095,73
136,Account06,https://www.facebook.com/coord_url_015/,80:40.0,1108,78
137,Account07,https://www.facebook.com/coord_url_015/,80:48.0,1102,75
138,Account08,https://www.facebook.com/coord_url_015/,80:56.0,1113,79
139,Account09,https://www.facebook.com/coord_url_015/,81:04.0,1100,76
140,Account10,https://www.facebook.com/coord_url_015/,81:12.0,1115,80
141,Account11,https://www.facebook.com/coord_url_015/,81:20.0,1103,77
142,Account12,https://www.facebook.com/coord_url_015/,81:28.0,1118,81
143,Account13,https://www.facebook.com/coord_url_015/,81:36.0,1105,78
144,Account14,https://www.facebook.com/coord_url_015/,81:44.0,1120,82
145,Account15,https://www.facebook.com/coord_url_015/,81:52.0,1108,79
146,Account16,https://www.facebook.com/coord_url_015/,82:00.0,1123,83
147,Account17,https://www.facebook.com/coord_url_015/,82:08.0,1110,80
148,Account18,https://www.facebook.com/coord_url_015/,82:16.0,1125,84
149,Account19,https://www.facebook.com/coord_url_015/,82:24.0,1113,81
150,Account20,https://www.facebook.com/coord_url_015/,82:32.0,1128,85
151,Account02,https://www.facebook.com/coord_url_016/,85:00.0,480,32
152,Account04,https://www.facebook.com/coord_url_016/,85:15.0,485,33
153,Account06,https://www.facebook.com/coord_url_016/,85:30.0,478,31
154,Account08,https://www.facebook.com/coord_url_016/,85:45.0,490,34
155,Account10,https://www.facebook.com/coord_url_016/,86:00.0,475,30
156,Account12,https://www.facebook.com/coord_url_016/,86:15.0,488,35
157,Account14,https://www.facebook.com/coord_url_016/,86:30.0,482,32
158,Account16,https://www.facebook.com/coord_url_016/,86:45.0,493,36
159,Account18,https://www.facebook.com/coord_url_016/,87:00.0,480,33
160,Account20,https://www.facebook.com/coord_url_016/,87:15.0,495,37
161,Account01,https://www.facebook.com/coord_url_017/,90:00.0,680,46
162,Account03,https://www.facebook.com/coord_url_017/,90:12.0,685,47
163,Account05,https://www.facebook.com/coord_url_017/,90:24.0,678,45
164,Account07,https://www.facebook.com/coord_url_017/,90:36.0,690,48
165,Account09,https://www.facebook.com/coord_url_017/,90:48.0,675,44
166,Account11,https://www.facebook.com/coord_url_017/,91:00.0,688,49
167,Account13,https://www.facebook.com/coord_url_017/,91:12.0,682,46
168,Account15,https://www.facebook.com/coord_url_017/,91:24.0,693,50
